address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Chelsea Wharf, Lots Road, SW10",SW10,6500,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"City Road, London, EC1V",EC1V,2200,1015,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3
"Lincoln Square, 18 Portugal Street, London, WC2A",WC2A,6500,9000,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Sutton Square , Heston, Middlesex, TW5",TW5,2200,2538,Long term,Ask agent,Ask agent,Semi-Detached,3.0,2.0,"1,075 sq ft",0.7,3
"City Road, London, EC1V",EC1V,3900,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,76 sq ft,0.5,3
"Aquarelle House, City Road, Islington, London, EC1V",EC1V,2375,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Ferrum, Wembley Park, HA9",HA9,1984,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Luke Street, London, EC2A",EC2A,2200,2769,Long term,Unfurnished,Ask agent,Apartment,1.0,,527 sq ft,0.3,3
"Eccleston Road, London, W13",W13,880,0,Long term,Furnished,Ask agent,House Share,1.0,,Ask agent,0.4,3
"Shaftesbury Road, Richmond, TW9",TW9,1950,2250,Long term,Furnished,Ask agent,House,1.0,1.0,Ask agent,0.6,3
"Cornwallis House, London, W12",W12,3200,3692,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,2.0,Ask agent,0.4,3
"Elton Park, Watford, WD17",WD17,1295,831,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.7,3
"Queens Road, Watford, WD17",WD17,2400,0,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3
"Kings Cross Working Construction Training Centre, London, N1C",N1C,3350,3865,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Adrienne Avenue, Southall, UB1",UB1,725,0,Long term,Furnished,Ask agent,House Share,1.0,2.0,Ask agent,1.4,3
"Cottenham House, London, N19",N19,725,837,Long term,Furnished,Ask agent,Flat Share,1.0,1.0,Ask agent,0.4,3
"Mornington Crescent, London, NW1",NW1,1750,2000,Short term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"City Road, London, EC1V",EC1V,2747,3170,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,590 sq ft,0.5,3
"Hunters Gate, Hunters Lane, Watford, WD25",WD25,1200,1384,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,1.3,3
"Newstead, Hatfield, AL10",AL10,1600,1846,Long term,Part furnished,Ask agent,Semi-Detached,4.0,1.0,Ask agent,1.7,3
"Research House, Fraser Road, Perivale, UB6",UB6,1096,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.6,3
"Cleveland Street, London, W1T",W1T,2817,3250,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Alma Sqaure, London, London, NW8",NW8,2492,2875,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"161 Fulham Road, London, SW3",SW3,3900,4500,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Royal Crescent, London, W11",W11,4333,5000,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"New Union Square, London, SW11",SW11,5200,7200,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3
"New Acres, Wandsworth, SW18",SW18,2771,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.7,3
"Carnwath Road, London, SW6",SW6,2200,2538,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Collier House, 
163-169 Brompton Road, SW3",SW3,6500,9000,Long term,Furnished,Ask agent,Flat,2.0,2.0,"1,018 sq ft",0.5,3
"One Thames City, 6 Carnation Wy., Nine Elms, London, SW8",SW8,5200,7200,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"The Green Quarter, London, UB1",UB1,1550,2325,Long term,Ask agent,Ask agent,Apartment,,1.0,Ask agent,10.8,3
"Sheen Lane, East Sheen, London, SW14",SW14,1599,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3
"Linden Lea, Leavesden, WD25",WD25,1100,1100,Long term,Unfurnished,Ask agent,Studio,,1.0,Ask agent,1.3,3
"Compass House, SW6",SW6,3500,4038,,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Artesian House, Memorial Ave, SL1",SL1,1450,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.5,3
"Howson Terrace, Richmond, TW10",TW10,1400,1615,Long term,Part furnished,Ask agent,Flat,,1.0,Ask agent,0.8,3
"Ranelagh Road, Wembley, HA0",HA0,2300,0,Long term,Unfurnished,Ask agent,Apartment,3.0,1.0,Ask agent,0.5,3
"Grosvenor Road, London, SW1V",SW1V,2496,2884,Short term,Part furnished,Ask agent,Flat,,1.0,Ask agent,0.4,3
"Flat , Kilmuir House, Ebury Street, London, SW1W",SW1W,4330,500,Short term,Furnished,Ask agent,Flat,2.0,1.0,710 sq ft,0.4,3
"Redburn Street, Chelsea, SW3",SW3,5417,7500,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3
"Fairholme Road, Harrow, Middlesex, HA1",HA1,2600,0,Long term,Furnished,Ask agent,Detached,3.0,,Ask agent,0.5,3
"Egerton Court, 
Old Brompton Road, SW7",SW7,3000,3462,Long term,Part furnished,Ask agent,Flat,2.0,1.0,604 sq ft,0.4,3
"Edith Grove, 
Chelsea, SW10",SW10,3748,4325,Long term,Furnished,Ask agent,Flat,3.0,2.0,880 sq ft,0.6,3
"Princes Road, Richmond, TW10",TW10,5500,7615,Long term,Ask agent,Ask agent,Terraced,2.0,2.0,"1,019 sq ft",0.7,3
"Melliss Avenue, London, TW9",TW9,3050,0,,Furnished,Ask agent,Apartment,2.0,2.0,990 sq ft,0.5,3
"Wimbledon Park Court, London, Greater London, SW19",SW19,2000,2307,Long term,Part furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3
"Greyhound Hill, Hendon, London, NW4",NW4,1600,1846,,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.8,3
"Arcadian Gardens, London, N22",N22,1950,2250,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3
"Portman Square, London, W1H",W1H,6500,750,Long term,Furnished,Ask agent,End of Terrace,2.0,1.0,Ask agent,0.4,3
"Harrow Road, 
Kensal Town, W10",W10,1350,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1.0,Ask agent,0.6,3
"Warwick Court, London, WC1R",WC1R,4500,5190,Long term,Unfurnished,Ask agent,Apartment,2.0,,Ask agent,0.3,3
"Aquarelle House, 259 City Road, EC1V",EC1V,2375,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Mayes Road, Wood Green, N22",N22,2643,2700,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,4.0,2.0,Ask agent,0.4,3
"Raydean Road, New Barnet, EN5",EN5,2750,3173,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,Ask agent,0.7,3
"Cassini Apartments, White City Living, London, W12",W12,9967,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3.0,3.0,Ask agent,0.2,3
"South Hill Park Gardens, London, NW3",NW3,3600,0,Long term,Unfurnished,Ask agent,Flat,3.0,2.0,"1,173 sq ft",0.4,3
"Warwick Building, 366 Queenstown Road, London, SW11",SW11,2578,3250,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Eustace Building, 372 Queenstown Road, London, SW11",SW11,3033,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Frith Street, London, W1D",W1D,1582,1825,Long term,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.2,3
"Holland Park Mews, London, W11",W11,6000,500,Short term,Furnished,Ask agent,House,1.0,2.0,"1,345 sq ft",0.4,3
"Hermitage Street, London, W2.",W2.,5997,8304,Long term,Furnished,Ask agent,Flat,3.0,3.0,Ask agent,0.2,3
"Hale Works Apartments, Daneland Walk, N17",N17,2200,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Arkwright Road, Hampstead, London, NW3",NW3,3467,4000,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Malthouse Road, Nine Elms, SW11",SW11,2349,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Fulham Road, London, SW6",SW6,1975,2278,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,743 sq ft,0.5,3
"Lanadron Close, Isleworth, TW7",TW7,1795,2071,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3
"Barrington Court, Lamble Street, NW5",NW5,3200,3173,,Furnished,Ask agent,House,4.0,1.0,Ask agent,0.4,3
"Central Apartments, 455 High Road, Wembley, HA9",HA9,3250,0,Long term,Furnished,Ask agent,Penthouse,3.0,3.0,Ask agent,0.4,3
"Belgrave Gardens, London, NW8",NW8,17117,23700,Long term,Unfurnished,Ask agent,Terraced,4.0,3.0,Ask agent,0.4,3
"Camden Street, Camden, London, NW1",NW1,2300,2653,,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Grosvenor Gardens, Belgravia, London, SW1W",SW1W,4984,5750,Long term,Furnished,Ask agent,Flat,2.0,2.0,850 sq ft,0.4,3
"Kensington Way, Borehamwood, Hertfordshire, WD6",WD6,1700,1961,Long term,Ask agent,Ask agent,Terraced,2.0,1.0,Ask agent,2.2,3
"Courtney House, Mulberry Close, Hendon, London, NW4",NW4,1750,2019,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.9,3
"Glassworks, Greenford, Middlesex, UB6",UB6,2972,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,941 sq ft,0.6,3
"Sussex Street, 
Pimlico, SW1V",SW1V,5000,0,Long term,Unfurnished,Ask agent,House,4.0,3.0,Ask agent,0.5,3
"Balham Grove, 
Balham, SW12",SW12,4500,6231,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Mews,2.0,2.0,"1,360 sq ft",0.4,3
"Redcliffe Gardens, SW10",SW10,3683,0,Long term,Ask agent,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Monck Street, London, SW1P",SW1P,5490,0,Long term,Part furnished,Ask agent,Apartment,3.0,3.0,"1,615 sq ft",0.4,3
"Battersea Park Road, Battersea, SW11",SW11,1495,1725,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"UNCLE Southall, Southall, London, UB2",UB2,3115,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,1.2,3
"Leonard Street, London, EC2A",EC2A,2145,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"UNCLE Southall, Southall, London, UB2",UB2,1740,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,1.2,3
"Belvedere Road, London, SE1",SE1,3590,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,592 sq ft,0.3,3
"Holloway Road, London, N19",N19,1600,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Cheyne Place, London, SW3",SW3,27083,37500,Long term,Unfurnished,Ask agent,Flat,3.0,3.0,Ask agent,0.7,3
"Windsor Crescent, Wembley, HA9",HA9,953,1100,Long term,Furnished,Ask agent,House Share,,,160 sq ft,0.7,3
"UNCLE Southall, Southall, London, UB2",UB2,2300,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,1.2,3
"UNCLE Southall, Southall, London, UB2",UB2,2050,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,1.2,3
"Millbank Quarter, 9 Millbank, Westminster, SW1P",SW1P,3200,3692,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3
"Mulberry Walk, London, SW3",SW3,4333,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.7,3
"Abercorn Place, St Johns Wood, NW8",NW8,2150,2480,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Camden Street, Camden, London, NW1",NW1,4600,5307,,Ask agent,Ask agent,Apartment,4.0,2.0,Ask agent,0.3,3
"Frith Street, Soho, London, W1D",W1D,1582,1825,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.2,3
"Grafton Yard, Kentish Town, NW5",NW5,3358,3875,Long term,Ask agent,Ask agent,Apartment,3.0,1.0,Ask agent,0.3,3
"Leighton Grove, London, NW5",NW5,1585,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,376 sq ft,0.5,3
"Catherine Street, Covent Garden, WC2B",WC2B,2232,0,,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Ormonde Terrace, London, NW8",NW8,3250,3750,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.7,3
"Princess Mews, Belsize Park, NW3",NW3,3878,4475,Long term,Unfurnished,Ask agent,Terraced,2.0,2.0,Ask agent,0.4,3
"Rosary Gardens, South Kensington, London, SW7",SW7,8212,11370,Long term,Furnished,Ask agent,Flat,3.0,3.0,Ask agent,0.4,3
"Sherbrooke Road, 
Fulham, SW6",SW6,4500,5192,Short term,Unfurnished,Ask agent,House,3.0,2.0,Ask agent,0.6,3
"EH -  Kenway Road,  Kenway Road, Earls Court, London, SW5",SW5,1650,1905,Long term,Furnished,Ask agent,Studio,,1.0,248 sq ft,0.3,3
"Headstone Road, Harrow, Middlesex, HA1",HA1,2684,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,980 sq ft,0.5,3
"Fountain House, The Boulevard, SW6",SW6,6000,0,Long term,Furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.5,3
"The Factory, Memorial Avenue, Slough, Berkshire, SL1",SL1,2100,2423,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,1.5,3
"Clevedon Road, Twickenham, Middlesex, TW1",TW1,4750,0,Long term,Unfurnished,Ask agent,Flat,2.0,,"1,335 sq ft",0.8,3
"Rainham Close, SW11",SW11,3142,0,Long term,Furnished,Ask agent,House,3.0,1.0,Ask agent,0.7,3
"Duke Street, London, W1K",W1K,28166,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3.0,3.0,Ask agent,0.2,3
"Old Brompton Road, South Kensington, SW7",SW7,3250,3750,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3
"Durnsford House, Durnsford Road, SW19",SW19,2250,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3
"Windsor Close, Northwood, Greater London, HA6",HA6,1600,1600,Long term,Unfurnished,Ask agent,Maisonette,2.0,1.0,Ask agent,0.8,3
"Philbeach Gardens, London, SW5",SW5,4350,5020,Long term,Furnished,Ask agent,Flat,2.0,2.0,861 sq ft,0.3,3
"Victoria Street, Westminster, London, SW1H",SW1H,2795,3225,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Willoughby Road, Hampstead, NW3",NW3,2150,2480,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Frithville Gardens, London, W12",W12,2000,2307,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Philbeach Gardens, London, SW5",SW5,1680,1940,Long term,Furnished,Ask agent,Studio,,1.0,323 sq ft,0.3,3
"Pinewood Gardens, Teddington, Middlesex, TW11",TW11,4015,4632,Long term,Unfurnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.9,3
"Old Brompton Road, South Kensington, London, SW7",SW7,1235,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,,1.0,Ask agent,0.4,3
"Queens Gate Mews, 
Kensington Gate, SW7",SW7,16445,22770,Long term,Furnished,Ask agent,Mews,5.0,5.0,"2,789 sq ft",0.5,3
"Drayton Court, NW4",NW4,1990,2296,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,1.0,3
"Eastfields Avenue, London, SW18",SW18,2700,0,,Furnished,Ask agent,Apartment,2.0,2.0,786 sq ft,0.6,3
"Catherine Place, Harrow, HA1",HA1,1850,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Wheelers Drive, Ruislip, HA4",HA4,1300,1500,Long term,Unfurnished,Ask agent,End of Terrace,1.0,1.0,Ask agent,1.2,3
"Stucley Place, Camden, London, NW1",NW1,2500,2884,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Portman Square, Marylebone, London, W1H",W1H,6500,0,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"Handel House, 89 Edgwarebury Lane, Edgware, Middx, HA8",HA8,1975,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.9,3
"Metro Central Heights, Newington Causeway, London, SE1",SE1,1450,1560,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.1,3
"Middle Field, 
St John's Wood, NW8",NW8,12000,0,Long term,Part furnished,Ask agent,Detached,4.0,3.0,Ask agent,0.3,3
"Radipole Road, 
Fulham, SW6",SW6,1900,2192,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,585 sq ft,0.4,3
"Maine Tower, 9 Harbour Way, Canary Wharf, London, E14",E14,3400,3923,Long term,Furnished,Ask agent,Apartment,2.0,2.0,943 sq ft,0.2,3
"Oglander Road, Peckham, SE15",SE15,2300,0,Short term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Denison House, Canary Wharf,  E14",E14,1900,2192,Long term,Furnished,Ask agent,Apartment,1.0,1.0,485 sq ft,0.3,3
"Mount Adon Park, SE22",SE22,1950,2250,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.9,3
"Comet Street, London, SE8",SE8,4250,0,,Part furnished,Ask agent,Town House,4.0,2.0,"1,798 sq ft",0.2,3
"King Frederick Ninth Tower, SE16",SE16,1950,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.7,3
"Arena Tower, 25 Crossharbour Plaza, Canary Wharf, London, E14",E14,1900,2192,Long term,Furnished,Ask agent,Apartment,,1.0,366 sq ft,0.3,3
"Baltimore Wharf, Canary Wharf, London, E14",E14,2300,2653,Long term,Furnished,Ask agent,Apartment,1.0,1.0,611 sq ft,0.3,3
"Landmark East Tower, E14",E14,2200,0,Long term,Ask agent,Ask agent,Apartment,1.0,1.0,Ask agent,0.2,3
"St. Davids Square, London, E14",E14,2100,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,570 sq ft,0.3,3
"Baltimore Wharf, Canary Wharf, London, E14",E14,2934,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Tower Bridge Road, London, SE1",SE1,1650,2019,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.6,3
"Old Kent Road, London, SE1",SE1,1500,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Studio,,1.0,Ask agent,0.8,3
"Cubitt Wharf, Isle of Dogs, E14",E14,1625,1875,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Merchant House, Stratford, E20",E20,2750,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3
"8 Water Street, Canary Wharf, E14",E14,4397,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,2903,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,3250,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Westbury Road, Barking, IG11",IG11,2800,3230,Long term,Furnished,Ask agent,Terraced,4.0,2.0,"1,123 sq ft",0.9,3
"10 George Street, Canary Wharf, E14",E14,2860,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"8 Water Street, Canary Wharf, E14",E14,4052,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,4000,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,3500,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Newfoundland, Canary Wharf, E14",E14,2492,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,,1.0,Ask agent,0.2,3
"Merchant House, Stratford, E20",E20,3300,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,3.0,2.0,Ask agent,0.5,3
"Newfoundland, Canary Wharf, E14",E14,7390,0,,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,2.0,Ask agent,0.2,3
"Poplar, London, E14",E14,2200,2538,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Codrington Court, Rotherhithe Street, SE16",SE16,2000,2307,Long term,Part furnished,Ask agent,Apartment,2.0,2.0,731 sq ft,0.5,3
"Elmhurst, Belvedere, DA17",DA17,2150,2150,Long term,Unfurnished,Ask agent,Terraced,3.0,1.0,Ask agent,1.1,3
"Goodrich Road, East Dulwich, London, SE22",SE22,2700,3116,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,2.0,1.0,769 sq ft,0.9,3
"Pan Peninsula Square, London, E14",E14,3400,3923,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Stubbs Drive, London, SE16",SE16,1200,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.5,3
"Thunderer Street, London, E13",E13,1250,1442,Long term,Furnished,Ask agent,Flat Share,1.0,2.0,Ask agent,0.7,3
"Jubilee Court, London, SE10",SE10,1850,2135,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Garrick Drive, Thamesmead, London, SE28",SE28,1725,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,2.0,1.0,Ask agent,0.4,3
"Chancellor House, London, SE16",SE16,3200,3692,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.8,3
"Lee High Road, London, SE12",SE12,1850,2135,Long term,Unfurnished,Ask agent,Maisonette,2.0,1.0,Ask agent,0.6,3
"Leven Road, London, E14",E14,2200,2583,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Elstow Road, Dagenham, RM9",RM9,1725,1990,Long term,Unfurnished,Ask agent,Terraced,2.0,1.0,Ask agent,0.7,3
"Deals Gateway, Lewisham, SE13",SE13,2000,2307,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Maine Tower, E14",E14,3400,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Tranquil Vale, London, SE3",SE3,2150,2480,Long term,Ask agent,Ask agent,Flat,2.0,1.0,Ask agent,0.6,3
"Mayesbrook Road, Essex, IG3",IG3,1950,2250,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.7,3
"Shooters Hill, London, SE18",SE18,1800,1800,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,1.1,3
"Woolwich Road, Charlton, SE7",SE7,2200,2538,Long term,Unfurnished,Ask agent,Terraced,2.0,1.0,Ask agent,0.6,3
"Pan Peninsula Square, London, E14",E14,2300,2300,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Overcliff Road, London, SE13",SE13,4000,4615,Long term,Unfurnished,Ask agent,Terraced,5.0,3.0,Ask agent,0.4,3
"Limes Grove, London, SE13",SE13,1500,1500,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Caistor Park Road, Stratford, London, E15",E15,2250,2597,Long term,Furnished,Ask agent,House,2.0,1.0,896 sq ft,0.4,3
"Tower Mansions, Bermondsey, London, SE1",SE1,2900,700,Short term,Ask agent,Ask agent,Flat,2.0,1.0,647 sq ft,0.8,3
"NAOMI STREET, Deptford, London, SE8",SE8,2350,2712,Long term,Furnished,Ask agent,Flat,2.0,2.0,763 sq ft,0.6,3
"Narrow Street, E14",E14,2995,3455,Long term,Part furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Alaska Building, 
Deals Gateway, SE13",SE13,1500,0,Long term,Furnished,Ask agent,Flat,1.0,,Ask agent,0.2,3
"Colomb Street, Greenwich, SE10",SE10,2300,2653,Long term,Unfurnished,Ask agent,Terraced,3.0,1.0,Ask agent,0.5,3
"Lewisham Way, Brockley, SE4",SE4,1600,1846,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"East Ferry Road, London, E14",E14,950,950,Long term,Furnished,Ask agent,House Share,1.0,3.0,Ask agent,0.4,3
"St. Albans Court, London, E11",E11,1800,831,Short term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.5,3
"Aurora Point, London, SE8",SE8,2050,2365,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.8,3
"The Haydon, Minories, London, EC3N",EC3N,4333,5500,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,846 sq ft,0.2,3
"Lavender Place, Ilford, IG1",IG1,1700,1961,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.8,3
"Farrow Lane, London, SE14",SE14,1350,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Discovery Dock Apartments East, 
3 South Quay Square, E14",E14,2200,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"New Stratford Works, Prospect Row, Stratford, E15",E15,2150,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Cliffe House, London, SE10",SE10,795,367,Long term,Furnished,Ask agent,Flat Share,1.0,1.0,Ask agent,0.6,3
"High Street North, London, E12",E12,1350,1350,Long term,Unfurnished,Ask agent,Studio,,1.0,Ask agent,0.5,3
"London, London, E14",E14,2450,2450,Long term,Furnished,Ask agent,Terraced,3.0,2.0,Ask agent,0.3,3
"Trewsbury Road, Sydenham, London, SE26",SE26,1950,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Torridon Road, Catford, London, SE6",SE6,2250,2596,,Unfurnished,Ask agent,Terraced,3.0,1.0,Ask agent,0.8,3
"Thames Road, London, E16",E16,1850,2134,Long term,Furnished,Ask agent,Flat,1.0,1.0,538 sq ft,0.4,3
"Thames Road, London, E16",E16,1875,2163,Long term,Furnished,Ask agent,Flat,1.0,1.0,538 sq ft,0.4,3
